Posn_Id,Play_Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
8087931,189511,71+3,71+3,71+3,74+3,76+3,76+3,76+3,74+3,79+3,79+3,79+3,76+3,83+3,83+3,83+3,76+3,79+3,86+3,86+3,86+3,79+3,78+3,82+3,82+3,82+3,78+3,"CDM,CM"
8087932,192119,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8087933,192448,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8087934,194765,86+3,86+3,86+3,87+3,87+3,87+3,87+3,87+3,86+3,86+3,86+3,86+3,82+3,82+3,82+3,86+3,72+3,70+3,70+3,70+3,72+3,70+3,65+3,65+3,65+3,70+3,"CF,ST"
8087935,209331,84+3,84+3,84+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,86+3,81+3,81+3,81+3,86+3,70+3,66+3,66+3,66+3,70+3,66+3,57+3,57+3,57+3,66+3,"RW,ST"
8087936,211110,83+3,83+3,83+3,87+3,86+3,86+3,86+3,87+3,87+3,87+3,87+3,86+3,79+3,79+3,79+3,86+3,62+3,58+3,58+3,58+3,62+3,56+3,45+3,45+3,45+3,56+3,"CAM,RW"
8087937,232363,58+2,58+2,58+2,57+2,57+2,57+2,57+2,57+2,59+2,59+2,59+2,60+2,66+2,66+2,66+2,60+2,74+2,79+2,79+2,79+2,74+2,77+2,84+2,84+2,84+2,77+2,CB
8087938,135507,75+3,75+3,75+3,75+3,76+3,76+3,76+3,75+3,77+3,77+3,77+3,76+3,81+3,81+3,81+3,76+3,81+3,84+3,84+3,84+3,81+3,80+3,82+3,82+3,82+3,80+3,CDM
8087939,167664,84+3,84+3,84+3,80+3,82+3,82+3,82+3,80+3,79+3,79+3,79+3,78+3,71+3,71+3,71+3,78+3,55+3,53+3,53+3,53+3,55+3,51+3,48+3,48+3,48+3,51+3,ST
8087940,168651,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,81+3,84+3,84+3,84+3,81+3,78+3,80+3,80+3,80+3,78+3,76+3,73+3,73+3,73+3,76+3,"CM,CDM"
8087941,172871,69+3,69+3,69+3,69+3,70+3,70+3,70+3,69+3,70+3,70+3,70+3,71+3,75+3,75+3,75+3,71+3,79+3,82+3,82+3,82+3,79+3,80+3,84+3,84+3,84+3,80+3,CB
8087942,175943,78+3,78+3,78+3,86+3,85+3,85+3,85+3,86+3,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,65+3,60+3,60+3,60+3,65+3,60+3,46+3,46+3,46+3,60+3,"CF,ST"
8087943,176676,81+3,81+3,81+3,85+3,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,84+3,82+3,82+3,82+3,84+3,83+3,80+3,80+3,80+3,83+3,LB
8087944,184087,66+3,66+3,66+3,65+3,67+3,67+3,67+3,65+3,68+3,68+3,68+3,68+3,75+3,75+3,75+3,68+3,78+3,83+3,83+3,83+3,78+3,80+3,84+3,84+3,84+3,80+3,CB
8087945,189332,76+3,76+3,76+3,82+3,79+3,79+3,79+3,82+3,80+3,80+3,80+3,83+3,80+3,80+3,80+3,83+3,85+3,80+3,80+3,80+3,85+3,84+3,78+3,78+3,78+3,84+3,LB
8087946,189509,76+3,76+3,76+3,82+3,82+3,82+3,82+3,82+3,84+3,84+3,84+3,82+3,84+3,84+3,84+3,82+3,77+3,77+3,77+3,77+3,77+3,74+3,69+3,69+3,69+3,74+3,"CM,CAM,CDM"
8087947,192387,84+3,84+3,84+3,79+3,82+3,82+3,82+3,79+3,78+3,78+3,78+3,77+3,70+3,70+3,70+3,77+3,60+3,58+3,58+3,58+3,60+3,58+3,55+3,55+3,55+3,58+3,ST
8087948,193041,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8087949,197781,76+3,76+3,76+3,83+3,82+3,82+3,82+3,83+3,85+3,85+3,85+3,82+3,82+3,82+3,82+3,82+3,71+3,72+3,72+3,72+3,71+3,68+3,63+3,63+3,63+3,68+3,"CAM,CM,LW"
8087950,198710,80+3,80+3,80+3,84+3,83+3,83+3,83+3,84+3,85+3,85+3,85+3,83+3,81+3,81+3,81+3,83+3,69+3,68+3,68+3,68+3,69+3,65+3,58+3,58+3,58+3,65+3,"CAM,CM,RM"
8087951,200145,74+3,74+3,74+3,71+3,74+3,74+3,74+3,71+3,75+3,75+3,75+3,72+3,79+3,79+3,79+3,72+3,78+3,84+3,84+3,84+3,78+3,79+3,84+3,84+3,84+3,79+3,CDM
8087952,201399,84+3,84+3,84+3,76+3,81+3,81+3,81+3,76+3,76+3,76+3,76+3,74+3,68+3,68+3,68+3,74+3,53+3,53+3,53+3,53+3,53+3,52+3,51+3,51+3,51+3,52+3,ST
8087953,206585,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8087954,208670,74+3,74+3,74+3,80+3,79+3,79+3,79+3,80+3,82+3,82+3,82+3,81+3,82+3,82+3,82+3,81+3,71+3,72+3,72+3,72+3,71+3,67+3,60+3,60+3,60+3,67+3,"CAM,RW"
8087955,209499,73+3,73+3,73+3,75+3,75+3,75+3,75+3,75+3,76+3,76+3,76+3,77+3,80+3,80+3,80+3,77+3,82+3,83+3,83+3,83+3,82+3,82+3,82+3,82+3,82+3,82+3,CDM
8087956,211300,82+3,82+3,82+3,83+3,83+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,74+3,74+3,74+3,81+3,64+3,60+3,60+3,60+3,64+3,61+3,54+3,54+3,54+3,61+3,"LW,ST,LM"
8087957,212188,82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,80+3,70+3,70+3,70+3,80+3,61+3,55+3,55+3,55+3,61+3,57+3,49+3,49+3,49+3,57+3,ST
8087958,212190,56+2,56+2,56+2,49+2,52+2,52+2,52+2,49+2,52+2,52+2,52+2,52+2,60+2,60+2,60+2,52+2,69+2,75+2,75+2,75+2,69+2,73+2,81+2,81+2,81+2,73+2,CB
8087959,212198,78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,77+2,76+2,76+2,76+2,77+2,74+2,68+2,68+2,68+2,74+2,"CAM,CM"
8087960,212462,76+3,76+3,76+3,79+3,78+3,78+3,78+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,83+3,81+3,81+3,81+3,83+3,82+3,78+3,78+3,78+3,82+3,LB
8087961,216460,56+2,56+2,56+2,51+2,51+2,51+2,51+2,51+2,50+2,50+2,50+2,53+2,56+2,56+2,56+2,53+2,71+2,73+2,73+2,73+2,71+2,74+2,83+2,83+2,83+2,74+2,CB
8087962,216594,79+3,79+3,79+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,62+3,60+3,60+3,60+3,62+3,56+3,50+3,50+3,50+3,56+3,CAM
8087963,220793,61+2,61+2,61+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,62+2,66+2,66+2,66+2,62+2,74+2,78+2,78+2,78+2,74+2,76+2,82+2,82+2,82+2,76+2,CB
8087964,220834,79+3,79+3,79+3,83+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,66+3,63+3,63+3,63+3,66+3,62+3,52+3,52+3,52+3,62+3,"LW,RW"
8087965,231443,76+3,76+3,76+3,84+3,82+3,82+3,82+3,84+3,82+3,82+3,82+3,83+3,75+3,75+3,75+3,83+3,64+3,58+3,58+3,58+3,64+3,59+3,47+3,47+3,47+3,59+3,"RW,LW"
8087966,41,73+3,73+3,73+3,81+3,80+3,80+3,80+3,81+3,84+3,84+3,84+3,81+3,82+3,82+3,82+3,81+3,71+3,73+3,73+3,73+3,71+3,68+3,63+3,63+3,63+3,68+3,"CM,LM"
8087967,41236,82+4,82+4,82+4,77+4,80+4,80+4,80+4,77+4,79+4,79+4,79+4,76+4,73+4,73+4,73+4,76+4,55+4,57+4,57+4,57+4,55+4,51+4,52+4,52+4,52+4,51+4,ST
8087968,205498,69+2,69+2,69+2,75+2,75+2,75+2,75+2,75+2,79+2,79+2,79+2,78+2,82+2,82+2,82+2,78+2,76+2,79+2,79+2,79+2,76+2,74+2,71+2,71+2,71+2,74+2,CM
8087969,205678,76+2,76+2,76+2,82+2,80+2,80+2,80+2,82+2,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,69+2,64+2,64+2,64+2,69+2,64+2,54+2,54+2,54+2,64+2,"RM,RW"
8087970,206113,78+2,78+2,78+2,82+2,81+2,81+2,81+2,82+2,81+2,81+2,81+2,80+2,74+2,74+2,74+2,80+2,65+2,62+2,62+2,62+2,65+2,62+2,54+2,54+2,54+2,62+2,"LM,RM,CAM,LW"
8087971,207410,71+3,71+3,71+3,79+3,78+3,78+3,78+3,79+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,76+3,78+3,78+3,78+3,76+3,74+3,69+3,69+3,69+3,74+3,CM
8087972,207566,68+3,68+3,68+3,70+3,71+3,71+3,71+3,70+3,73+3,73+3,73+3,73+3,78+3,78+3,78+3,73+3,76+3,80+3,80+3,80+3,76+3,75+3,79+3,79+3,79+3,75+3,"CDM,CM"
8087973,207863,56+3,56+3,56+3,55+3,55+3,55+3,55+3,55+3,57+3,57+3,57+3,58+3,64+3,64+3,64+3,58+3,71+3,76+3,76+3,76+3,71+3,73+3,81+3,81+3,81+3,73+3,CB
8087974,208418,78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,80+3,80+3,80+3,81+3,73+3,73+3,73+3,81+3,62+3,58+3,58+3,58+3,62+3,58+3,50+3,50+3,50+3,58+3,LM
8087975,208618,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,82+2,79+2,79+2,79+2,82+2,75+2,72+2,72+2,72+2,75+2,73+2,65+2,65+2,65+2,73+2,"RW,RM"
8087976,208808,79+2,79+2,79+2,83+2,82+2,82+2,82+2,83+2,81+2,81+2,81+2,82+2,75+2,75+2,75+2,82+2,63+2,58+2,58+2,58+2,63+2,59+2,49+2,49+2,49+2,59+2,"LM,ST,RM"
8087977,209658,78+3,78+3,78+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,79+3,79+3,79+3,79+3,79+3,79+3,77+3,77+3,77+3,79+3,"CM,CAM,CDM"
8087978,210008,77+2,77+2,77+2,77+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,78+2,81+2,81+2,81+2,78+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,"CM,CDM"
8087979,210413,56+2,56+2,56+2,56+2,57+2,57+2,57+2,56+2,58+2,58+2,58+2,59+2,65+2,65+2,65+2,59+2,72+2,77+2,77+2,77+2,72+2,74+2,82+2,82+2,82+2,74+2,CB
8087980,210514,74+2,74+2,74+2,80+2,78+2,78+2,78+2,80+2,78+2,78+2,78+2,81+2,78+2,78+2,78+2,81+2,82+2,78+2,78+2,78+2,82+2,81+2,75+2,75+2,75+2,81+2,RB
8087981,212523,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,80+2,69+2,69+2,69+2,69+2,69+2,67+2,64+2,64+2,64+2,67+2,CAM
8087982,213345,77+2,77+2,77+2,82+2,81+2,81+2,81+2,82+2,80+2,80+2,80+2,81+2,71+2,71+2,71+2,81+2,58+2,51+2,51+2,51+2,58+2,53+2,40+2,40+2,40+2,53+2,"LM,RM,LW,RW"
8087983,213565,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,74+3,71+3,71+3,71+3,74+3,71+3,64+3,64+3,64+3,71+3,"LM,CAM,RM"
8087984,213331,52+2,52+2,52+2,52+2,53+2,53+2,53+2,52+2,56+2,56+2,56+2,57+2,63+2,63+2,63+2,57+2,70+2,76+2,76+2,76+2,70+2,73+2,81+2,81+2,81+2,73+2,CB
8087985,216409,73+2,73+2,73+2,81+2,79+2,79+2,79+2,81+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,64+2,61+2,61+2,61+2,64+2,60+2,49+2,49+2,49+2,60+2,"RM,LM,ST"
8087986,220440,58+2,58+2,58+2,59+2,61+2,61+2,61+2,59+2,63+2,63+2,63+2,62+2,68+2,68+2,68+2,62+2,72+2,78+2,78+2,78+2,72+2,75+2,81+2,81+2,81+2,75+2,CB
8087987,221087,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8087988,221992,76+3,76+3,76+3,81+3,79+3,79+3,79+3,81+3,79+3,79+3,79+3,80+3,72+3,72+3,72+3,80+3,64+3,59+3,59+3,59+3,64+3,60+3,51+3,51+3,51+3,60+3,"RW,LW"
8087989,222737,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,74+2,74+2,74+2,80+2,58+2,55+2,55+2,55+2,58+2,53+2,43+2,43+2,43+2,53+2,RW
8087990,223959,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,75+2,78+2,78+2,78+2,75+2,80+2,81+2,81+2,81+2,80+2,79+2,77+2,77+2,77+2,79+2,"CDM,CM"
8087991,224411,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,79+2,79+2,79+2,80+2,73+2,73+2,73+2,80+2,63+2,59+2,59+2,59+2,63+2,59+2,50+2,50+2,50+2,59+2,"LM,ST,RM,LW"
8087992,226226,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,74+2,74+2,72+2,67+2,67+2,67+2,72+2,"CM,CAM,CDM"
8087993,226271,76+2,76+2,76+2,78+2,79+2,79+2,79+2,78+2,80+2,80+2,80+2,78+2,80+2,80+2,80+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,73+2,73+2,73+2,74+2,"CM,CDM,CAM"
8087994,228702,70+2,70+2,70+2,77+2,76+2,76+2,76+2,77+2,79+2,79+2,79+2,79+2,80+2,80+2,80+2,79+2,77+2,78+2,78+2,78+2,77+2,76+2,72+2,72+2,72+2,76+2,"CM,CDM,CB"
8087995,230168,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8087996,230225,66+2,66+2,66+2,60+2,63+2,63+2,63+2,60+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,71+2,73+2,73+2,73+2,71+2,74+2,80+2,80+2,80+2,74+2,"CB,CDM"
8087997,230258,67+2,67+2,67+2,71+2,71+2,71+2,71+2,71+2,73+2,73+2,73+2,74+2,77+2,77+2,77+2,74+2,79+2,80+2,80+2,80+2,79+2,80+2,78+2,78+2,78+2,80+2,"CDM,CM"
8087998,230658,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,80+2,80+2,80+2,78+2,81+2,81+2,81+2,78+2,75+2,77+2,77+2,77+2,75+2,73+2,71+2,71+2,71+2,73+2,CM
8087999,231866,73+2,73+2,73+2,74+2,76+2,76+2,76+2,74+2,78+2,78+2,78+2,75+2,80+2,80+2,80+2,75+2,76+2,78+2,78+2,78+2,76+2,75+2,75+2,75+2,75+2,75+2,"CM,CDM"
8088000,183498,77+2,77+2,77+2,75+2,77+2,77+2,77+2,75+2,77+2,77+2,77+2,76+2,80+2,80+2,80+2,76+2,78+2,80+2,80+2,80+2,78+2,78+2,78+2,78+2,78+2,78+2,"CDM,CM"
8088001,183574,79+2,79+2,79+2,81+2,81+2,81+2,81+2,81+2,82+2,82+2,82+2,80+2,78+2,78+2,78+2,80+2,64+2,64+2,64+2,64+2,64+2,60+2,56+2,56+2,56+2,60+2,"CF,ST,CAM"
8088002,183711,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,77+2,77+2,77+2,77+2,80+2,80+2,80+2,77+2,79+2,80+2,80+2,80+2,79+2,78+2,76+2,76+2,76+2,78+2,"CDM,CM"
8088003,184144,73+3,73+3,73+3,80+3,79+3,79+3,79+3,80+3,80+3,80+3,80+3,80+3,75+3,75+3,75+3,80+3,64+3,61+3,61+3,61+3,64+3,60+3,51+3,51+3,51+3,60+3,CAM
8088004,184200,80+3,80+3,80+3,80+3,80+3,80+3,80+3,80+3,79+3,79+3,79+3,80+3,75+3,75+3,75+3,80+3,65+3,65+3,65+3,65+3,65+3,63+3,60+3,60+3,60+3,63+3,ST
8088005,184431,75+2,75+2,75+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,75+2,75+2,75+2,81+2,59+2,56+2,56+2,56+2,59+2,54+2,41+2,41+2,41+2,54+2,"CF,ST"
8088006,184484,75+3,75+3,75+3,78+3,78+3,78+3,78+3,78+3,80+3,80+3,80+3,79+3,80+3,80+3,80+3,79+3,70+3,70+3,70+3,70+3,70+3,67+3,61+3,61+3,61+3,67+3,CAM
8088007,184942,77+2,77+2,77+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,77+2,77+2,77+2,80+2,66+2,65+2,65+2,65+2,66+2,62+2,56+2,56+2,56+2,62+2,"CAM,RW"
8088008,185122,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8088009,185221,66+3,66+3,66+3,66+3,67+3,67+3,67+3,66+3,69+3,69+3,69+3,68+3,74+3,74+3,74+3,68+3,76+3,80+3,80+3,80+3,76+3,77+3,80+3,80+3,80+3,77+3,"CDM,CB"
8088010,186345,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,77+2,78+2,78+2,78+2,77+2,81+2,78+2,78+2,78+2,81+2,80+2,76+2,76+2,76+2,80+2,"RB,RWB"
8088011,186561,75+3,75+3,75+3,77+3,78+3,78+3,78+3,77+3,79+3,79+3,79+3,79+3,80+3,80+3,80+3,79+3,75+3,75+3,75+3,75+3,75+3,73+3,69+3,69+3,69+3,73+3,"CM,CDM,CAM"
8088012,186627,79+3,79+3,79+3,77+3,79+3,79+3,79+3,77+3,77+3,77+3,77+3,76+3,70+3,70+3,70+3,76+3,54+3,53+3,53+3,53+3,54+3,49+3,45+3,45+3,45+3,49+3,ST
8088013,187754,76+2,76+2,76+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,67+2,65+2,65+2,65+2,67+2,64+2,56+2,56+2,56+2,64+2,RM
8088014,188803,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,67+2,64+2,64+2,64+2,67+2,64+2,55+2,55+2,55+2,64+2,"LM,CAM"
8088015,189125,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,78+3,77+3,77+3,77+3,78+3,76+3,72+3,72+3,72+3,76+3,"CM,LW"
8088016,201455,77+2,77+2,77+2,76+2,78+2,78+2,78+2,76+2,78+2,78+2,78+2,76+2,79+2,79+2,79+2,76+2,77+2,80+2,80+2,80+2,77+2,78+2,81+2,81+2,81+2,78+2,"CM,CDM"
8088017,202562,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,77+2,75+2,75+2,75+2,77+2,79+2,77+2,77+2,77+2,79+2,79+2,77+2,77+2,77+2,79+2,"LB,LWB,LM"
8088018,202685,79+2,79+2,79+2,74+2,77+2,77+2,77+2,74+2,74+2,74+2,74+2,72+2,67+2,67+2,67+2,72+2,61+2,60+2,60+2,60+2,61+2,60+2,62+2,62+2,62+2,60+2,ST
8088019,203890,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,79+2,77+2,77+2,77+2,79+2,79+2,77+2,77+2,77+2,79+2,RB
8088020,204024,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,70+2,70+2,70+2,70+2,75+2,75+2,75+2,70+2,76+2,79+2,79+2,79+2,76+2,75+2,75+2,75+2,75+2,75+2,"CDM,CM"
8088021,204884,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,80+2,78+2,78+2,78+2,80+2,80+2,77+2,77+2,77+2,80+2,LB
8088022,204923,78+2,78+2,78+2,79+2,80+2,80+2,80+2,79+2,79+2,79+2,79+2,78+2,76+2,76+2,76+2,78+2,69+2,68+2,68+2,68+2,69+2,67+2,63+2,63+2,63+2,67+2,"CAM,CM"
8088023,205362,52+2,52+2,52+2,53+2,52+2,52+2,52+2,53+2,55+2,55+2,55+2,56+2,62+2,62+2,62+2,56+2,70+2,74+2,74+2,74+2,70+2,74+2,79+2,79+2,79+2,74+2,CB
8088024,206467,79+2,79+2,79+2,79+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,78+2,73+2,73+2,73+2,78+2,62+2,59+2,59+2,59+2,62+2,58+2,53+2,53+2,53+2,58+2,"ST,LW"
8088025,207862,66+2,66+2,66+2,64+2,65+2,65+2,65+2,64+2,66+2,66+2,66+2,67+2,70+2,70+2,70+2,67+2,74+2,77+2,77+2,77+2,74+2,76+2,79+2,79+2,79+2,76+2,"CB,CDM"
8088026,208093,79+2,79+2,79+2,75+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,58+2,58+2,58+2,61+2,60+2,56+2,56+2,56+2,60+2,ST
8088027,208135,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,76+2,76+2,76+2,75+2,79+2,79+2,79+2,75+2,78+2,80+2,80+2,80+2,78+2,77+2,78+2,78+2,78+2,77+2,"CDM,CM"
8088028,209889,74+3,74+3,74+3,80+3,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,80+3,80+3,80+3,80+3,78+3,76+3,76+3,76+3,78+3,76+3,69+3,69+3,69+3,76+3,"LM,LB,CM"
8088029,210243,72+3,72+3,72+3,78+3,76+3,76+3,76+3,78+3,77+3,77+3,77+3,79+3,78+3,78+3,78+3,79+3,81+3,78+3,78+3,78+3,81+3,80+3,75+3,75+3,75+3,80+3,"RB,RM"
8088030,210617,74+2,74+2,74+2,81+2,79+2,79+2,79+2,81+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,63+2,61+2,61+2,61+2,63+2,59+2,50+2,50+2,50+2,59+2,"RM,LM,CM"
8088031,212194,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,80+2,73+2,73+2,73+2,80+2,59+2,55+2,55+2,55+2,59+2,54+2,43+2,43+2,43+2,54+2,"LM,RM,CAM"
8088032,226110,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,79+2,79+2,79+2,79+2,70+2,70+2,70+2,79+2,58+2,52+2,52+2,52+2,58+2,54+2,43+2,43+2,43+2,54+2,"RM,RW,ST"
8088033,225953,76+2,76+2,76+2,79+2,78+2,78+2,78+2,79+2,78+2,78+2,78+2,78+2,69+2,69+2,69+2,78+2,61+2,55+2,55+2,55+2,61+2,56+2,49+2,49+2,49+2,56+2,"LW,RW"
8088034,226753,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
8088035,228229,54+2,54+2,54+2,48+2,51+2,51+2,51+2,48+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,67+2,72+2,72+2,72+2,67+2,70+2,78+2,78+2,78+2,70+2,CB
8088036,228941,78+2,78+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,61+2,59+2,59+2,59+2,61+2,58+2,56+2,56+2,56+2,58+2,ST
8088037,230142,74+2,74+2,74+2,80+2,79+2,79+2,79+2,80+2,79+2,79+2,79+2,79+2,74+2,74+2,74+2,79+2,61+2,58+2,58+2,58+2,61+2,56+2,47+2,47+2,47+2,56+2,"LW,LM,RW"
8088038,230234,66+2,66+2,66+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,72+2,75+2,75+2,75+2,72+2,77+2,78+2,78+2,78+2,77+2,77+2,75+2,75+2,75+2,77+2,"CDM,CM"
8088039,230347,67+2,67+2,67+2,74+2,71+2,71+2,71+2,74+2,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,79+2,76+2,76+2,76+2,79+2,78+2,74+2,74+2,74+2,78+2,"LB,LM"
8088040,231943,78+2,78+2,78+2,78+2,78+2,78+2,78+2,78+2,76+2,76+2,76+2,77+2,70+2,70+2,70+2,77+2,62+2,60+2,60+2,60+2,62+2,60+2,57+2,57+2,57+2,60+2,"ST,LW,LM"
8088041,234035,65+2,65+2,65+2,71+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,78+2,75+2,75+2,75+2,78+2,78+2,75+2,75+2,75+2,78+2,RB
8088042,234153,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,79+2,73+2,71+2,71+2,71+2,73+2,70+2,64+2,64+2,64+2,70+2,"RM,CM"
